Date,HT,AT,HS,AS
2009-09-13,Colo Colo,Unión Española,1,1
2009-09-13,Curicó,Cobresal,2,1
2009-09-17,O'Higgins,Universidad de Chile,1,1
2009-09-17,Unión Española,La Serena,1,4
2009-09-18,Huachipato,Audax Italiano,2,2
2009-09-18,Universidad Catolica,Curicó,7,0
2009-09-19,Rangers,Ñublense,2,0
2009-09-19,Universidad de Concepcion,Cobreloa,1,0
2009-09-20,Cobresal,Palestino,0,1
2009-09-20,Iquique,Colo Colo,1,1
2009-09-20,Santiago Morning,Everton,2,1
2009-09-22,Ñublense,O'Higgins,1,0
2009-09-23,Audax Italiano,Universidad Catolica,0,4
2009-09-23,Cobreloa,Huachipato,2,0
2009-09-23,Palestino,La Serena,1,0
2009-09-23,Universidad de Concepcion,Iquique,2,0
2009-09-24,Everton,Colo Colo,3,2
2009-10-09,Unión Española,Rangers,3,3
2009-10-11,Universidad de Chile,Cobresal,1,1
2009-10-12,Curicó,Santiago Morning,1,1
2009-09-26,Palestino,Universidad Catolica,1,1
2009-09-26,Santiago Morning,Universidad de Chile,3,1
2009-09-27,Cobreloa,Curicó,0,0
2009-09-27,Cobresal,Universidad de Concepcion,3,0
2009-09-27,Colo Colo,Ñublense,3,1
2009-09-27,Huachipato,Everton,1,2
2009-09-27,La Serena,Audax Italiano,4,2
2009-09-27,O'Higgins,Unión Española,2,0
2009-09-27,Rangers,Iquique,5,3
2009-10-02,Iquique,Huachipato,2,2
2009-10-02,Universidad Catolica,Rangers,5,1
2009-10-03,Audax Italiano,O'Higgins,1,1
2009-10-03,Colo Colo,Universidad de Chile,1,0
2009-10-03,La Serena,Cobresal,3,2
2009-10-04,Everton,Cobreloa,0,3
2009-10-04,Ñublense,Palestino,1,0
2009-10-04,Universidad de Concepcion,Curicó,3,1
2009-10-04,Unión Española,Santiago Morning,0,1
2009-10-16,Santiago Morning,La Serena,1,2
2009-10-17,O'Higgins,Iquique,2,2
2009-10-17,Unión Española,Universidad Catolica,4,3
2009-10-18,Cobreloa,Audax Italiano,0,1
2009-10-18,Cobresal,Everton,2,0
2009-10-18,Curicó,Ñublense,3,0
2009-10-18,Huachipato,Colo Colo,0,2
2009-10-18,Rangers,Palestino,1,0
2009-10-18,Universidad de Chile,Universidad de Concepcion,1,1
2009-10-23,Audax Italiano,Rangers,1,0
2009-10-24,Colo Colo,Cobreloa,2,1
2009-10-24,Iquique,Cobresal,1,1
2009-10-24,Universidad de Concepcion,Unión Española,1,2
2009-10-24,Palestino,Everton,0,1
2009-10-25,Ñublense,Huachipato,3,0
2009-10-25,Universidad Catolica,Santiago Morning,3,0
2009-10-25,Curicó,O'Higgins,0,1
2009-10-25,La Serena,Universidad de Chile,3,0
2009-10-30,O'Higgins,La Serena,1,3
2009-10-31,Cobresal,Colo Colo,0,2
2009-10-31,Iquique,Cobreloa,2,1
2009-10-31,Palestino,Huachipato,1,3
2009-10-31,Universidad de Chile,Universidad Catolica,2,3
2009-11-01,Everton,Audax Italiano,1,2
2009-11-01,Rangers,Santiago Morning,3,1
2009-11-01,Universidad de Concepcion,Ñublense,1,1
2009-11-01,Unión Española,Curicó,3,0
2009-11-06,Santiago Morning,O'Higgins,1,1
2009-11-07,Colo Colo,Palestino,1,2
2009-11-07,Universidad Catolica,Universidad de Concepcion,4,1
2009-11-07,Audax Italiano,Cobresal,0,0
2009-11-08,Cobreloa,Rangers,1,0
2009-11-08,Curicó,Everton,2,2
2009-11-08,Huachipato,Universidad de Chile,1,0
2009-11-08,La Serena,Iquique,2,1
2009-11-08,Ñublense,Unión Española,1,1
2010-01-23,San Felipe,Colo Colo,3,2
2010-01-23,Everton,Unión Española,0,1
2010-01-24,Cobreloa,Wanderers,2,1
2010-01-24,Universidad de Chile,Cobresal,5,1
2010-01-24,Santiago Morning,La Serena,2,3
2010-01-24,Huachipato,San Luis,2,1
2010-01-24,Palestino,Universidad de Concepcion,1,1
2010-01-25,Audax Italiano,Ñublense,5,6
2010-02-17,O'Higgins,Universidad Catolica,1,0
2010-01-29,Wanderers,Huachipato,0,0
2010-01-29,Universidad de Concepcion,San Felipe,0,1
2010-01-30,Cobresal,Santiago Morning,3,0
2010-01-30,Ñublense,Everton,0,2
2010-01-30,Universidad Catolica,Palestino,2,1
2010-01-30,La Serena,Universidad de Chile,2,4
2010-01-30,San Luis,O'Higgins,1,2
2010-01-31,Unión Española,Audax Italiano,2,2
2010-01-31,Colo Colo,Cobreloa,3,1
2010-02-02,Universidad Catolica,Santiago Morning,4,0
2010-02-02,O'Higgins,Universidad de Concepcion,1,2
2010-02-02,La Serena,San Luis,1,3
2010-02-02,Palestino,Unión Española,0,0
2010-02-02,San Felipe,Audax Italiano,1,2
2010-02-02,Cobreloa,Cobresal,2,1
2010-02-02,Everton,Universidad de Chile,2,1
2010-02-02,Huachipato,Ñublense,1,1
2010-02-04,Colo Colo,Wanderers,3,0
2010-02-05,San Luis,Universidad Catolica,1,1
2010-02-06,Universidad de Concepcion,Everton,2,1
2010-02-06,Universidad de Chile,Huachipato,3,0
2010-02-07,Audax Italiano,Cobreloa,3,1
2010-02-07,Cobresal,O'Higgins,1,2
2010-02-07,Unión Española,Colo Colo,1,0
2010-02-07,Wanderers,La Serena,5,0
2010-02-07,Ñublense,Palestino,1,0
2010-02-07,Santiago Morning,San Felipe,1,0
2010-02-12,Colo Colo,Ñublense,2,2
2010-02-13,Wanderers,Universidad de Chile,3,3
2010-02-13,Santiago Morning,Palestino,2,1
2010-02-13,La Serena,San Felipe,3,1
2010-02-14,Cobreloa,Universidad de Concepcion,1,1
2010-02-14,O'Higgins,Audax Italiano,5,1
2010-02-14,San Luis,Everton,0,2
2010-02-14,Huachipato,Unión Española,1,2
2010-02-14,Universidad Catolica,Cobresal,0,2
